ActualPower;Max Capacity;Location 1;Location 2;Location 3;Location 4
28.993;38.75;9;9.44;8.131;10.54
29.724;43.75;9.3;9.452;8.177;10.564
30.77;42.5;10.7;9.442;8.225;10.559
30.936;43.75;9.1;9.42;8.25;10.516
29.056;43.75;10.7;9.384;8.257;10.443
27.71;43.75;11.1;9.312;8.243;10.329
26.43;43.75;11.5;9.204;8.216;10.179
26.161;43.75;11.4;9.083;8.175;10.008
23.379;43.75;9.4;8.982;8.15;9.878
22.967;43.75;8.6;8.97;8.106;9.925
22.49;43.75;9.8;9.107;7.779;9.967
20.549;43.75;10.1;9.117;8.018;9.988
17.088;43.75;9.2;9.122;8.373;9.979
15.3;43.75;11.5;9.165;8.482;9.99
14.689;43.75;10.8;9.224;8.632;9.977
13.374;43.75;11.2;9.266;8.693;9.939
12.248;43.75;11.4;9.299;8.681;9.898
12.157;43.75;11.6;9.306;8.676;9.888
10.634;43.75;11.2;9.339;8.746;9.914
10.929;43.75;11;9.397;8.843;9.984
12.172;43.75;11.7;9.424;8.954;10.057
11.278;43.75;11;9.403;9.043;10.071
12.445;43.75;11;9.31;9.068;10.003
12.83;43.75;11.4;9.158;9.033;9.856
12.836;43.75;10.1;8.99;8.959;9.685
13.85;43.75;8.8;8.818;8.848;9.497
13.923;43.75;9.3;8.612;8.683;9.273
13.066;43.75;8.7;8.394;8.487;9.042
11.091;43.75;8.3;8.201;8.275;8.853
11.419;42.25;7.8;8.106;8.066;8.701
11.487;43.75;8.4;7.988;7.755;8.633
9.536;43.75;7.9;7.869;7.35;8.538
8.578;43.75;8.1;7.743;6.545;8.43
9.042;43.75;7.6;7.499;6.785;8.308
9.504;43.75;7.6;7.177;7.155;8.066
10.402;43.75;6.7;7.001;7.092;7.846
11.119;43.75;7.4;6.894;7.001;7.783
10.987;43.75;7.2;6.811;6.938;7.723
11.413;43.75;7.1;6.778;6.862;7.645
10.214;43.75;6.8;6.781;6.749;7.487
8.832;43.75;7.2;6.674;6.625;7.341
6.896;43.75;7.5;6.587;6.521;7.236
4.322;43.75;7.3;6.581;6.421;7.177
3.822;43.75;6.6;6.529;6.324;7.093
3.574;43.75;6.8;6.461;6.257;7.044
3.386;43.75;6.5;6.428;6.219;7.063
